2023-06-13 08:56:40 Websocket connected
2023-06-13 09:00:38 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:41.646000", "Open Price": "25791.12000000"}

2023-06-13 09:00:42 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:43.089000", "Open Price": "25791.11000000"}

2023-06-13 09:00:46 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:43.598000", "Open Price": "25791.12000000"}

2023-06-13 09:00:50 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:45.091000", "Open Price": "25792.81000000"}

2023-06-13 09:00:54 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:45.998000", "Open Price": "25792.80000000"}

2023-06-13 09:00:58 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:47.265000", "Open Price": "25792.81000000"}

2023-06-13 09:01:02 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:48.245000", "Open Price": "25792.81000000"}

2023-06-13 09:01:06 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:49.254000", "Open Price": "25792.80000000"}

2023-06-13 09:01:10 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:51.056000", "Open Price": "25796.03000000"}

2023-06-13 09:01:14 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:52.685000", "Open Price": "25796.03000000"}

2023-06-13 09:01:18 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:53.585000", "Open Price": "25797.96000000"}

2023-06-13 09:01:22 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:54.455000", "Open Price": "25797.95000000"}

2023-06-13 09:01:26 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:55.907000", "Open Price": "25797.96000000"}

2023-06-13 09:01:30 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:56.877000", "Open Price": "25797.96000000"}

2023-06-13 09:01:34 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:57.822000", "Open Price": "25797.95000000"}

2023-06-13 09:01:38 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:58.098000", "Open Price": "25797.95000000"}

